catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0191352,Rinext 4 Tablet,MSN Laboratories,,allopathy,,65.0,False,rinext 4 tablet |  | msn laboratories | allopathy | 
MED0191353,Rosostat 10mg Tablet,Premedium Pharmaceuticals Pvt Ltd,,allopathy,,210.0,False,rosostat 10mg tablet |  | premedium pharmaceuticals pvt ltd | allopathy | 
MED0191354,Rusen 200mg Tablet,Dr Lee & Morris Pharma Pvt Ltd,,allopathy,,160.0,False,rusen 200mg tablet |  | dr lee & morris pharma pvt ltd | allopathy | 
MED0191355,Ribanz LS 75mg/20mg Capsule SR,Angiolife Healthcare Pvt Ltd,,allopathy,,148.0,False,ribanz ls 75mg/20mg capsule sr |  | angiolife healthcare pvt ltd | allopathy | 
MED0191356,Rixipred 40mg Injection,Human Biolife India Pvt Ltd,,allopathy,,147.0,False,rixipred 40mg injection |  | human biolife india pvt ltd | allopathy | 
MED0191357,Rawdobe 500mg Capsule,Rawlley Healthcare Pvt Ltd,,allopathy,,58.0,False,rawdobe 500mg capsule |  | rawlley healthcare pvt ltd | allopathy | 
MED0191358,Rabivar D 30mg/20mg Tablet SR,Sree Cvr Pharmaceuticals,,allopathy,,80.0,False,rabivar d 30mg/20mg tablet sr |  | sree cvr pharmaceuticals | allopathy | 
MED0191359,Rabden-IT Capsule SR,BMW Pharmaco India Pvt. Ltd.,,allopathy,,110.0,False,rabden-it capsule sr |  | bmw pharmaco india pvt. ltd. | allopathy | 
MED0191360,Rudiair FB 400 Oxycap,Rudiment Life Science Pharmaceutical Pvt Ltd,,allopathy,,210.0,False,rudiair fb 400 oxycap |  | rudiment life science pharmaceutical pvt ltd | allopathy | 
MED0191361,Ridvom-Kid Syrup,Soinsvie Pharmacia Pvt Ltd,,allopathy,,39.45,False,ridvom-kid syrup |  | soinsvie pharmacia pvt ltd | allopathy | 
MED0191362,Rabechem D 30mg/20mg Capsule SR,Cheminnova Life Sciences,,allopathy,,82.45,False,rabechem d 30mg/20mg capsule sr |  | cheminnova life sciences | allopathy | 
MED0191363,Rifinim 200mg Tablet,Wockhardt Ltd,,allopathy,,158.3,False,rifinim 200mg tablet |  | wockhardt ltd | allopathy | 
MED0191364,Rebutaline-GB Syrup,Reltic Labs,,allopathy,,80.0,False,rebutaline-gb syrup |  | reltic labs | allopathy | 
MED0191365,Rabtus 20mg Tablet,Tesni Pharmaceuticals,,allopathy,,59.0,False,rabtus 20mg tablet |  | tesni pharmaceuticals | allopathy | 
MED0191366,Rel Bact 2% Ointment,Reltic Labs,,allopathy,,105.0,False,rel bact 2% ointment |  | reltic labs | allopathy | 
MED0191367,Ravsid 20mg Tablet,Kusum Healthcare Pvt Ltd,,allopathy,,53.0,False,ravsid 20mg tablet |  | kusum healthcare pvt ltd | allopathy | 
MED0191368,Rabiviz 20 Tablet,Medivista Lifesciences Pvt. Ltd.,,allopathy,,37.0,False,rabiviz 20 tablet |  | medivista lifesciences pvt. ltd. | allopathy | 
MED0191369,Rabisco 20mg Tablet,Frisco Hill Pharmacia,,allopathy,,55.0,False,rabisco 20mg tablet |  | frisco hill pharmacia | allopathy | 
MED0191370,Rosunor 5mg Tablet,Kiosence Health Care Pvt Ltd,,allopathy,,69.0,False,rosunor 5mg tablet |  | kiosence health care pvt ltd | allopathy | 
MED0191371,Rabmel-DSR Capsule,Meltic Healthcare Pvt Ltd,,allopathy,,110.0,False,rabmel-dsr capsule |  | meltic healthcare pvt ltd | allopathy | 
MED0191372,Retracef CV 200mg/125mg Tablet,Coniak Lifesciences,,allopathy,,330.0,False,retracef cv 200mg/125mg tablet |  | coniak lifesciences | allopathy | 
MED0191373,Rablife 20mg Tablet,SBS Life Sciences Pvt Ltd,,allopathy,,48.0,False,rablife 20mg tablet |  | sbs life sciences pvt ltd | allopathy | 
MED0191374,Riocort 6 Tablet,Penardo Biotech,,allopathy,,92.5,False,riocort 6 tablet |  | penardo biotech | allopathy | 
MED0191375,Riofinac TH 100mg/4mg Tablet,Riocure Pharmaceuticals Pvt. Ltd.,,allopathy,,160.0,False,riofinac th 100mg/4mg tablet |  | riocure pharmaceuticals pvt. ltd. | allopathy | 
MED0191376,Rabzaris-DSR Capsule,Azaris Pharma,,allopathy,,95.0,False,rabzaris-dsr capsule |  | azaris pharma | allopathy | 
MED0191377,Rabsar 20mg Injection,Elivia Life Sciences Pvt Ltd,,allopathy,,48.0,False,rabsar 20mg injection |  | elivia life sciences pvt ltd | allopathy | 
MED0191378,Rabiprez 20mg Tablet,Systacare Remedies,,allopathy,,65.0,False,rabiprez 20mg tablet |  | systacare remedies | allopathy | 
MED0191379,Romesec 10mg Tablet,Sun Pharmaceutical Industries Ltd,,allopathy,,28.07,False,romesec 10mg tablet |  | sun pharmaceutical industries ltd | allopathy | 
MED0191380,Ropnol 60mg Tablet SR,Mancare Labs Pvt Ltd,,allopathy,,64.0,False,ropnol 60mg tablet sr |  | mancare labs pvt ltd | allopathy | 
MED0191381,Ravocold Oral Suspension,Uko Pharmatech Pvt Ltd,,allopathy,,45.0,False,ravocold oral suspension |  | uko pharmatech pvt ltd | allopathy | 
MED0191382,Roxobid OZ 200mg/500mg Tablet,Wellmark Lifesciences Private Limited,,allopathy,,75.0,False,roxobid oz 200mg/500mg tablet |  | wellmark lifesciences private limited | allopathy | 
MED0191383,Rebprajol D 10mg/20mg Tablet,Remantra Pharma,,allopathy,,67.5,False,rebprajol d 10mg/20mg tablet |  | remantra pharma | allopathy | 
MED0191384,Reblar 20mg Tablet,Glue Biotech,,allopathy,,51.0,False,reblar 20mg tablet |  | glue biotech | allopathy | 
MED0191385,Ropotop-DSR Capsule,Ropoz Lifesciences Private Limited,,allopathy,,89.0,False,ropotop-dsr capsule |  | ropoz lifesciences private limited | allopathy | 
MED0191386,Rabrev-DSR Capsule,Aarvi Drugs,,allopathy,,118.0,False,rabrev-dsr capsule |  | aarvi drugs | allopathy | 
MED0191387,Rabovik-LSD Capsule SR,Zavik Drugs,,allopathy,,167.0,False,rabovik-lsd capsule sr |  | zavik drugs | allopathy | 
MED0191388,Rumirab-DSR Capsule,Ultilab,,allopathy,,75.0,False,rumirab-dsr capsule |  | ultilab | allopathy | 
MED0191389,Rebrolic-L Capsule SR,Iatric Pharmaceuticals,,allopathy,,171.0,False,rebrolic-l capsule sr |  | iatric pharmaceuticals | allopathy | 
MED0191390,Reldic-SP Tablet,Anista Healthcare,,allopathy,,90.0,False,reldic-sp tablet |  | anista healthcare | allopathy | 
MED0191391,Rosmade 10mg Tablet,Made-inn Healthcare Pvt Ltd,,allopathy,,119.0,False,rosmade 10mg tablet |  | made-inn healthcare pvt ltd | allopathy | 
MED0191392,Ralaxim-LB 200 Tablet,Foral Healthcare,,allopathy,,142.0,False,ralaxim-lb 200 tablet |  | foral healthcare | allopathy | 
MED0191393,Rifajil 200mg Tablet,Lifecare Neuro Products Ltd,,allopathy,,304.0,False,rifajil 200mg tablet |  | lifecare neuro products ltd | allopathy | 
MED0191394,Rosudip 20 Tablet,Advance Concept Pharmaceuticals Pvt. Ltd.,,allopathy,,185.0,False,rosudip 20 tablet |  | advance concept pharmaceuticals pvt. ltd. | allopathy | 
MED0191395,Restjoy 0.25 Tablet MD,GH Vision Care Life Science,,allopathy,,20.3,False,restjoy 0.25 tablet md |  | gh vision care life science | allopathy | 
MED0191396,Rantrio-DSR Capsule,Strio Healthcare,,allopathy,,108.0,False,rantrio-dsr capsule |  | strio healthcare | allopathy | 
MED0191397,Ranomend 500 ER Tablet,Mendcure Life Sciences Pvt Ltd,,allopathy,,135.0,False,ranomend 500 er tablet |  | mendcure life sciences pvt ltd | allopathy | 
MED0191398,Rabewor-DSR Capsule,Worth Medicines Pvt Ltd,,allopathy,,99.0,False,rabewor-dsr capsule |  | worth medicines pvt ltd | allopathy | 
MED0191399,Raceze 100mg Capsule,Truecure Healthcare Private Limited,,allopathy,,149.0,False,raceze 100mg capsule |  | truecure healthcare private limited | allopathy | 
MED0191400,Robasil-DSR Capsule,Asiltus Biopharma,,allopathy,,109.0,False,robasil-dsr capsule |  | asiltus biopharma | allopathy | 
MED0191401,Reldyl 5 Tablet,Mavis Lifesciences,,allopathy,,36.8,False,reldyl 5 tablet |  | mavis lifesciences | allopathy | 
MED0191402,Rozuxia 5mg Tablet,Wings Biotech Ltd,,allopathy,,57.13,False,rozuxia 5mg tablet |  | wings biotech ltd | allopathy | 
MED0191403,Refast 50mg Injection,Intel Pharmaceuticals,,allopathy,,94.18,False,refast 50mg injection |  | intel pharmaceuticals | allopathy | 
