catalogue_id,product,company,salt,dosage_form,pack,reference_price,discontinued,search_text
MED0249488,Zuricof DX Syrup,Zurica International Pvt Ltd,,allopathy,,50.0,False,zuricof dx syrup |  | zurica international pvt ltd | allopathy | 
MED0249489,Zilopan 40mg Tablet,Atyad Life Sciences Pvt Ltd,,allopathy,,62.0,False,zilopan 40mg tablet |  | atyad life sciences pvt ltd | allopathy | 
MED0249490,Zeucep 200mg Tablet,Zeuson Medicines Pvt Ltd,,allopathy,,135.0,False,zeucep 200mg tablet |  | zeuson medicines pvt ltd | allopathy | 
MED0249491,Zeo-CV 375 Tablet,Sigma Softgel Formulation,,allopathy,,72.0,False,zeo-cv 375 tablet |  | sigma softgel formulation | allopathy | 
MED0249492,Zeoxa 200mg Tablet,Sigma Softgel Formulation,,allopathy,,55.0,False,zeoxa 200mg tablet |  | sigma softgel formulation | allopathy | 
MED0249493,Zetacin 500mg Injection,Axico Healthcare,,allopathy,,65.0,False,zetacin 500mg injection |  | axico healthcare | allopathy | 
MED0249494,Zithronic 100mg Oral Suspension,Mednic Healthcare,,allopathy,,49.0,False,zithronic 100mg oral suspension |  | mednic healthcare | allopathy | 
MED0249495,Zelset MD 4 Tablet,Zelnic Biotech Pvt Ltd,,allopathy,,42.0,False,zelset md 4 tablet |  | zelnic biotech pvt ltd | allopathy | 
MED0249496,Zelcof Junior Syrup,Zelnic Biotech Pvt Ltd,,allopathy,,56.0,False,zelcof junior syrup |  | zelnic biotech pvt ltd | allopathy | 
MED0249497,Zeltis D 50mg/10mg Tablet,Zelnic Biotech Pvt Ltd,,allopathy,,63.0,False,zeltis d 50mg/10mg tablet |  | zelnic biotech pvt ltd | allopathy | 
MED0249498,Ziofen RZ 200mg/20mg Capsule,Ziotic Life Sciences,,allopathy,,98.0,False,ziofen rz 200mg/20mg capsule |  | ziotic life sciences | allopathy | 
MED0249499,Zargesic-SP Tablet,Zargan Healthcare,,allopathy,,78.0,False,zargesic-sp tablet |  | zargan healthcare | allopathy | 
MED0249500,Zartin 10mg Tablet,Zargan Healthcare,,allopathy,,56.0,False,zartin 10mg tablet |  | zargan healthcare | allopathy | 
MED0249501,Zitovik 250 Tablet,Creogenic Pharma,,allopathy,,67.0,False,zitovik 250 tablet |  | creogenic pharma | allopathy | 
MED0249502,Zovicold Syrup,Zoxvina Biotech Private Limited,,allopathy,,52.0,False,zovicold syrup |  | zoxvina biotech private limited | allopathy | 
MED0249503,Zithstat 250mg Tablet,Astakind Biotech Private Limited,,allopathy,,67.0,False,zithstat 250mg tablet |  | astakind biotech private limited | allopathy | 
MED0249504,Zoxinace P 100mg/325mg Tablet,Zoxvina Biotech Private Limited,,allopathy,,55.0,False,zoxinace p 100mg/325mg tablet |  | zoxvina biotech private limited | allopathy | 
MED0249505,Zumix CV 200mg/125mg Tablet,Aletron Pharmaceuticals,,allopathy,,176.0,False,zumix cv 200mg/125mg tablet |  | aletron pharmaceuticals | allopathy | 
MED0249506,ZENPRED 500 MG INJECTION,Unimark Remedies Ltd,,allopathy,,639.84,True,zenpred 500 mg injection |  | unimark remedies ltd | allopathy | 
MED0249507,Zucipro 250mg Tablet,Zuventus Healthcare Ltd,,allopathy,,30.36,True,zucipro 250mg tablet |  | zuventus healthcare ltd | allopathy | 
